==========================================================
縣市代碼,
縣市,
魚類代碼,
魚類代碼,
資料年,
價值_新臺幣千元
==========================================================


1901,新北市,01001,吳郭魚類,99,251.55
1901,新北市,02001,鯉魚,96,3.36
1901,新北市,02001,鯉魚,97,3.5
1901,新北市,02001,鯉魚,98,4.2
1901,新北市,02001,鯉魚,99,4.2
1901,新北市,03001,日本鰻鱺,93,75
1901,新北市,03001,日本鰻鱺,94,75
1901,新北市,0500X,鱸魚,96,254.16
1901,新北市,0500X,鱸魚,97,1730
1901,新北市,0500X,鱸魚,98,1212
1901,新北市,0500X,鱸魚,99,1012
1901,新北市,07001,錦鯉與金魚,99,31828.39295
1901,新北市,07099,其他觀賞魚,99,30337.28116
1901,新北市,09001,香魚,93,3946
1901,新北市,09001,香魚,94,1375
1901,新北市,09001,香魚,96,1813.08
1901,新北市,09001,香魚,97,1860
1901,新北市,09001,香魚,98,1360
1901,新北市,09001,香魚,99,930
1901,新北市,12001,真鯛,92,112707.742
1901,新北市,12001,真鯛,93,53553.33
1901,新北市,12001,真鯛,94,75657.725
1901,新北市,12001,真鯛,95,85123.70141
1901,新北市,12001,真鯛,96,39823.93
1901,新北市,12001,真鯛,97,4909.3
1901,新北市,12001,真鯛,98,4929.35
1901,新北市,12001,真鯛,99,5485.05
1901,新北市,12002,黃背牙鯛,92,110281.505
1901,新北市,12002,黃背牙鯛,93,153482.305
1901,新北市,12002,黃背牙鯛,94,55612.25
1901,新北市,12002,黃背牙鯛,95,62931.24799
1901,新北市,12002,黃背牙鯛,96,50418.92
1901,新北市,12002,黃背牙鯛,97,12203.75
1901,新北市,12002,黃背牙鯛,98,11907.79
1901,新北市,12002,黃背牙鯛,99,10157.55
1901,新北市,12003,紅鋤齒鯛,93,16.25
1901,新北市,12003,紅鋤齒鯛,98,805.5
1901,新北市,12003,紅鋤齒鯛,99,919.8
1901,新北市,12004,黑棘鯛,92,1617
1901,新北市,12004,黑棘鯛,94,850.5
1901,新北市,12004,黑棘鯛,95,1362.75
1901,新北市,12004,黑棘鯛,96,608
1901,新北市,12004,黑棘鯛,97,767.25
1901,新北市,12004,黑棘鯛,98,990.45
1901,新北市,12004,黑棘鯛,99,1755
1901,新北市,12099,其他鯛,92,16484.045
1901,新北市,12099,其他鯛,93,29696
