--------------------------------------------------------------------------
  0: 編號, no, int
  1: 名稱, name, String
  2: 行政區: district, String
  3. 地址, address, String
  4. 平日價格, regularPrice, int
  5. 價日價格, holidayPrice, int
  6. 加1人價格, addPerson, int
--------------------------------------------------------------------------  


1,九份民宿-龍門客棧,瑞芳區,新北市瑞芳區崙頂路110號,1800,2200,600
2,迷你谷渡假民宿,烏來區,新北市烏來區烏來里啦卡路20號,3500,5000,950
3,憩園民宿,萬里區,新北市萬里區愛二街24號,1500,2000,600
4,九份A-HOME民宿,瑞芳區,新北市瑞芳區崙頂路55號,4000,4500,1080
5,施家民宿,瑞芳區,新北市瑞芳區基山街106號2至3樓,1800,1800,600
6,九份老舍民宿,瑞芳區,新北市瑞芳區街頂巷20號,2800,4400,950
7,溫莎堡-香草花園民宿,瑞芳區,新北市瑞芳區基山街62號,4400,4400,1080
8,龍門溫泉民宿,烏來區,新北市烏來區烏來里溫泉街116號,3500,3500,950
9,熱門民宿,瑞芳區,新北市瑞芳區街頂巷37號,1700,3000,600
10,金瓜石藝棧景觀渡假別墅民宿,瑞芳區,新北市瑞芳區山尖路2號,12000,14000,1800
11,海華休閒別墅民宿,萬里區,新北市萬里區玉田路52號,2200,3280,950
12,旅途中海畔民宿,三芝區,新北市三芝區後厝里土地公坑54之6號3樓,2500,3600,950
13,九份風箏博物館特色民宿,瑞芳區,新北市瑞芳區坑尾巷20號,2000,5700,800
14,一畝田民宿,三芝區,新北市三芝區茂長里陳厝坑19之2號,6000,11000,1200
15,利未莊園民宿,瑞芳區,新北市瑞芳區山尖路97號,3500,6600,950
16,山中威尼斯民宿,雙溪區,新北市雙溪區新基東街7之1號,3400,5500,950
17,四個孩子民宿,三芝區,新北市三芝區茂長里芝柏路85號,1600,2200,600
18,綠野村山莊民宿,瑞芳區,新北市瑞芳區靜安路4段56巷6號,3600,5600,1080
19,阿里磅生態農場民宿,石門區,新北市石門區乾華里阿里磅82之1號,4000,6000,1080
20,阿香姨民宿,瑞芳區,新北市瑞芳區汽車路7號,1000,2000,450
21,九份喜來園景觀民宿,瑞芳區,新北市瑞芳區汽車路9之13號,3200,3600,950
22,九重町民宿,瑞芳區,新北市瑞芳區基山街29號,2300,3900,950
23,悅山海民宿,瑞芳區,新北市瑞芳區崙頂路103號,3300,3300,950
24,平林休閒棧民宿,雙溪區,新北市雙溪區外平林37號,4000,4000,1080
25,牡丹清境民宿,雙溪區,新北市雙溪區定福11號,2100,8400,950
26,平林農場民宿,雙溪區,新北市雙溪區外平林35號,2000,3000,800
27,九份觀海樓民宿,瑞芳區,新北市瑞芳區基山街183之1號,1600,2000,600
28,花岩山林民宿,三峽區,新北市三峽區有木里有木104之1號,2000,4800,800
29,La Casa 嘴嘴的家民宿,三芝區,新北市三芝區茂長里觀海街3號,1800,2000,600
30,悠然居民宿,瑞芳區,新北市瑞芳區汽車路76號,2000,4800,800
31,九份李老師的家民宿,瑞芳區,新北市瑞芳區崙頂路59號,2500,4000,950
32,柳園民宿,瑞芳區,新北市瑞芳區基山街237號,1000,1500,450
33,自然山居民宿,萬里區,新北市萬里區員潭路16之9號,2200,2200,950
34,石山水禪民宿,瑞芳區,新北市瑞芳區山尖路54號,3000,3000,950
35,情人溫泉民宿,烏來區,新北市烏來區烏來里溫泉街83號,1800,1800,600
36,九份高媽媽民宿,瑞芳區,新北市瑞芳區汽車路7之5號,1300,2600,600
37,風采民宿,瑞芳區,新北市瑞芳區輕便路121號,1800,4000,600
38,三才靈芝農場民宿,石碇區,新北市石碇區中民里18重溪52之1號,1290,2200,600
39,九份未眠者花園民宿,瑞芳區,新北市瑞芳區石埤巷78號,2880,5680,950
40,老農夫民宿,雙溪區,新北市雙溪區丁子蘭坑50號,1800,3000,600
41,馬克村莊民宿,瑞芳區,新北市瑞芳區汽車路86號,2000,3500,800
42,涵館民宿,瑞芳區,新北市瑞芳區輕便路282號,2800,3980,950
43,九份望琴海景觀民宿,瑞芳區,新北市瑞芳區崙頂路4之1號,2500,3500,950
44,九份岩屋民宿,瑞芳區,新北市瑞芳區崙頂路137號,4400,4400,1080
45,囍屋民宿,金山區,新北市金山區中信南路6巷4號,3600,5600,1080
